image_id,0
0-0,"[{""video_id"":0,""sequence"":40258,""video_frame"":0,""sequence_frame"":0,""image_id"":""0-0"",""annotations"":[]}]"
0-1,"[{""video_id"":0,""sequence"":40258,""video_frame"":1,""sequence_frame"":1,""image_id"":""0-1"",""annotations"":[]}]"
0-10,"[{""video_id"":0,""sequence"":40258,""video_frame"":10,""sequence_frame"":10,""image_id"":""0-10"",""annotations"":[]}]"
0-100,"[{""video_id"":0,""sequence"":40258,""video_frame"":100,""sequence_frame"":100,""image_id"":""0-100"",""annotations"":[{""x"":276,""y"":631,""width"":116,""height"":88}]}]"
0-1000,"[{""video_id"":0,""sequence"":45518,""video_frame"":1000,""sequence_frame"":127,""image_id"":""0-1000"",""annotations"":[{""x"":932,""y"":336,""width"":79,""height"":48}]}]"
0-1001,"[{""video_id"":0,""sequence"":45518,""video_frame"":1001,""sequence_frame"":128,""image_id"":""0-1001"",""annotations"":[{""x"":938,""y"":339,""width"":81,""height"":50}]}]"
0-1002,"[{""video_id"":0,""sequence"":45518,""video_frame"":1002,""sequence_frame"":129,""image_id"":""0-1002"",""annotations"":[{""x"":945,""y"":342,""width"":83,""height"":52}]}]"
0-1003,"[{""video_id"":0,""sequence"":45518,""video_frame"":1003,""sequence_frame"":130,""image_id"":""0-1003"",""annotations"":[{""x"":951,""y"":345,""width"":85,""height"":54}]}]"
0-1004,"[{""video_id"":0,""sequence"":45518,""video_frame"":1004,""sequence_frame"":131,""image_id"":""0-1004"",""annotations"":[{""x"":958,""y"":347,""width"":87,""height"":57}]}]"
0-1005,"[{""video_id"":0,""sequence"":45518,""video_frame"":1005,""sequence_frame"":132,""image_id"":""0-1005"",""annotations"":[{""x"":964,""y"":350,""width"":89,""height"":59}]}]"
0-1006,"[{""video_id"":0,""sequence"":45518,""video_frame"":1006,""sequence_frame"":133,""image_id"":""0-1006"",""annotations"":[{""x"":971,""y"":353,""width"":91,""height"":61}]}]"
0-1007,"[{""video_id"":0,""sequence"":45518,""video_frame"":1007,""sequence_frame"":134,""image_id"":""0-1007"",""annotations"":[{""x"":977,""y"":356,""width"":93,""height"":63}]}]"
0-1008,"[{""video_id"":0,""sequence"":45518,""video_frame"":1008,""sequence_frame"":135,""image_id"":""0-1008"",""annotations"":[{""x"":984,""y"":359,""width"":96,""height"":65}]}]"
0-1009,"[{""video_id"":0,""sequence"":45518,""video_frame"":1009,""sequence_frame"":136,""image_id"":""0-1009"",""annotations"":[{""x"":991,""y"":362,""width"":98,""height"":67}]}]"
0-101,"[{""video_id"":0,""sequence"":40258,""video_frame"":101,""sequence_frame"":101,""image_id"":""0-101"",""annotations"":[{""x"":266,""y"":659,""width"":116,""height"":60},{""x"":640,""y"":52,""width"":22,""height"":20}]}]"
0-1010,"[{""video_id"":0,""sequence"":45518,""video_frame"":1010,""sequence_frame"":137,""image_id"":""0-1010"",""annotations"":[{""x"":997,""y"":370,""width"":98,""height"":67}]}]"
0-1011,"[{""video_id"":0,""sequence"":45518,""video_frame"":1011,""sequence_frame"":138,""image_id"":""0-1011"",""annotations"":[{""x"":1003,""y"":378,""width"":98,""height"":67}]}]"
0-1012,"[{""video_id"":0,""sequence"":45518,""video_frame"":1012,""sequence_frame"":139,""image_id"":""0-1012"",""annotations"":[{""x"":1010,""y"":389,""width"":98,""height"":67}]}]"
0-1013,"[{""video_id"":0,""sequence"":45518,""video_frame"":1013,""sequence_frame"":140,""image_id"":""0-1013"",""annotations"":[{""x"":1017,""y"":400,""width"":98,""height"":67}]}]"
0-1014,"[{""video_id"":0,""sequence"":45518,""video_frame"":1014,""sequence_frame"":141,""image_id"":""0-1014"",""annotations"":[{""x"":1024,""y"":411,""width"":98,""height"":67}]}]"
0-1015,"[{""video_id"":0,""sequence"":45518,""video_frame"":1015,""sequence_frame"":142,""image_id"":""0-1015"",""annotations"":[{""x"":1031,""y"":423,""width"":98,""height"":67}]}]"
0-1016,"[{""video_id"":0,""sequence"":45518,""video_frame"":1016,""sequence_frame"":143,""image_id"":""0-1016"",""annotations"":[{""x"":1038,""y"":434,""width"":98,""height"":67}]}]"
0-1017,"[{""video_id"":0,""sequence"":45518,""video_frame"":1017,""sequence_frame"":144,""image_id"":""0-1017"",""annotations"":[{""x"":1045,""y"":446,""width"":98,""height"":67}]}]"
0-1018,"[{""video_id"":0,""sequence"":45518,""video_frame"":1018,""sequence_frame"":145,""image_id"":""0-1018"",""annotations"":[{""x"":1052,""y"":457,""width"":98,""height"":67}]}]"
0-1019,"[{""video_id"":0,""sequence"":45518,""video_frame"":1019,""sequence_frame"":146,""image_id"":""0-1019"",""annotations"":[{""x"":1058,""y"":469,""width"":98,""height"":67}]}]"
0-102,"[{""video_id"":0,""sequence"":40258,""video_frame"":102,""sequence_frame"":102,""image_id"":""0-102"",""annotations"":[{""x"":263,""y"":680,""width"":116,""height"":39},{""x"":640,""y"":50,""width"":22,""height"":20}]}]"
0-1020,"[{""video_id"":0,""sequence"":45518,""video_frame"":1020,""sequence_frame"":147,""image_id"":""0-1020"",""annotations"":[{""x"":1070,""y"":482,""width"":101,""height"":73}]}]"
0-1021,"[{""video_id"":0,""sequence"":45518,""video_frame"":1021,""sequence_frame"":148,""image_id"":""0-1021"",""annotations"":[{""x"":1082,""y"":494,""width"":105,""height"":79}]}]"
0-1022,"[{""video_id"":0,""sequence"":45518,""video_frame"":1022,""sequence_frame"":149,""image_id"":""0-1022"",""annotations"":[{""x"":1094,""y"":507,""width"":109,""height"":85}]}]"
0-1023,"[{""video_id"":0,""sequence"":45518,""video_frame"":1023,""sequence_frame"":150,""image_id"":""0-1023"",""annotations"":[{""x"":1106,""y"":520,""width"":113,""height"":91}]}]"
0-1024,"[{""video_id"":0,""sequence"":45518,""video_frame"":1024,""sequence_frame"":151,""image_id"":""0-1024"",""annotations"":[{""x"":1118,""y"":532,""width"":116,""height"":97}]}]"
0-1025,"[{""video_id"":0,""sequence"":45518,""video_frame"":1025,""sequence_frame"":152,""image_id"":""0-1025"",""annotations"":[{""x"":1130,""y"":545,""width"":120,""height"":103}]}]"
0-1026,"[{""video_id"":0,""sequence"":45518,""video_frame"":1026,""sequence_frame"":153,""image_id"":""0-1026"",""annotations"":[{""x"":1142,""y"":559,""width"":120,""height"":103}]}]"
0-1027,"[{""video_id"":0,""sequence"":45518,""video_frame"":1027,""sequence_frame"":154,""image_id"":""0-1027"",""annotations"":[{""x"":1157,""y"":583,""width"":120,""height"":103}]}]"
0-1028,"[{""video_id"":0,""sequence"":45518,""video_frame"":1028,""sequence_frame"":155,""image_id"":""0-1028"",""annotations"":[{""x"":1169,""y"":592,""width"":110,""height"":103}]}]"
0-1029,"[{""video_id"":0,""sequence"":45518,""video_frame"":1029,""sequence_frame"":156,""image_id"":""0-1029"",""annotations"":[{""x"":1172,""y"":620,""width"":107,""height"":99}]}]"
0-103,"[{""video_id"":0,""sequence"":40258,""video_frame"":103,""sequence_frame"":103,""image_id"":""0-103"",""annotations"":[{""x"":642,""y"":49,""width"":20,""height"":21}]}]"
0-1030,"[{""video_id"":0,""sequence"":45518,""video_frame"":1030,""sequence_frame"":157,""image_id"":""0-1030"",""annotations"":[{""x"":1180,""y"":636,""width"":99,""height"":83}]}]"
0-1031,"[{""video_id"":0,""sequence"":45518,""video_frame"":1031,""sequence_frame"":158,""image_id"":""0-1031"",""annotations"":[{""x"":1188,""y"":662,""width"":91,""height"":57}]}]"
0-1032,"[{""video_id"":0,""sequence"":45518,""video_frame"":1032,""sequence_frame"":159,""image_id"":""0-1032"",""annotations"":[]}]"
0-1033,"[{""video_id"":0,""sequence"":45518,""video_frame"":1033,""sequence_frame"":160,""image_id"":""0-1033"",""annotations"":[]}]"
0-1034,"[{""video_id"":0,""sequence"":45518,""video_frame"":1034,""sequence_frame"":161,""image_id"":""0-1034"",""annotations"":[]}]"
0-1035,"[{""video_id"":0,""sequence"":45518,""video_frame"":1035,""sequence_frame"":162,""image_id"":""0-1035"",""annotations"":[]}]"
0-1036,"[{""video_id"":0,""sequence"":45518,""video_frame"":1036,""sequence_frame"":163,""image_id"":""0-1036"",""annotations"":[]}]"
0-1037,"[{""video_id"":0,""sequence"":45518,""video_frame"":1037,""sequence_frame"":164,""image_id"":""0-1037"",""annotations"":[]}]"
0-1038,"[{""video_id"":0,""sequence"":45518,""video_frame"":1038,""sequence_frame"":165,""image_id"":""0-1038"",""annotations"":[]}]"
0-1039,"[{""video_id"":0,""sequence"":45518,""video_frame"":1039,""sequence_frame"":166,""image_id"":""0-1039"",""annotations"":[]}]"
0-104,"[{""video_id"":0,""sequence"":40258,""video_frame"":104,""sequence_frame"":104,""image_id"":""0-104"",""annotations"":[{""x"":642,""y"":46,""width"":22,""height"":22}]}]"
0-1040,"[{""video_id"":0,""sequence"":45518,""video_frame"":1040,""sequence_frame"":167,""image_id"":""0-1040"",""annotations"":[]}]"
